Date,Category,User,Email,First Message,Session ID,Sentiment,Sentiment Score
2026-01-15 17:00,Greetings,visitor105832,,Καλησπερα,session_e1a10faa-d349-45e5-b30b-5f5fab94b16a,Neutral,0.0
2026-01-13 14:59,Units,visitor105628,,καλησπέρα δεν βρίσκω το τεμάχιο στις μονάδες μετρήσεις,session_dfbc10dc-3fc4-4f97-9641-845617334951,Neutral,0.0
2026-01-12 20:54,Greetings,visitor105568,,testing fouk,session_9582514d-c80d-471a-9e86-4c05ad9e15f8,Neutral,0.0
2026-01-11 22:55,Error,visitor105502,,"υπάρχει θέμα με την κοστολόγηση π.χ. 250g ποσότητα χ 0,02 /g βγάζει 9,09 ενώ είναι 5,00",session_20902d85-29fc-428a-beaa-a3935146e0cd,Neutral,0.0
2026-01-10 19:05,Billing,visitor105480,,Θέλω να γράψω το κόστος αλα δεν με αφήνει,session_eb49f918-bcc1-4ddd-af88-97dd62ed5073,Neutral,0.0
2026-01-06 17:06,Error,visitor105287,,"καλησπέρα, μόλις έφτιαξα τον λογαριασμό μου και δεν με αφήνει να συνδεθώ λέει ότι ο κωδικός ή το email είναι λάθος. Άλλαξα 3 φορές τον κωδικό και πάλι μου λέει ότι είναι λάθος...",session_7c97a104-2a90-43e1-9080-5de0467218cc,Neutral,0.0
2025-12-20 16:12,Other,visitor104745,,ειστε μεσα να επικοινωνησω,session_437586c9-fc1b-4599-b38f-ba68f923f7a2,Neutral,0.0
2025-12-10 12:50,Usage,visitor104250,,καλησπέρα.  πως μπορώ να εκτύπωση τις κατηγορίες προϊόντων μου?,session_b813aada-99a0-4e0e-98ae-b1c34670ad71,Neutral,0.0
2025-12-09 18:52,Access,visitor104200,,Κσλησπέρα. Πώς στέλνω μια συνταγή μου σε email?,session_fea0454e-8b19-4056-9b87-e5fc7a4dee4f,Neutral,0.0
2025-12-04 16:22,Error,visitor103925,,"καλησπέρα σας , προσπαθώ να συνδεθώ και δεν με αφήνει μπορείτε να με βοηθήσετε ;",session_48c7f24a-7fca-436d-b0fd-c575fccddc5d,Neutral,0.0
2025-12-01 14:10,Other,visitor103775,,θέλω να κοστολογηήσω μπουφέ 10 θέσεων σε ξενοδοχείο,session_84381854-56b2-47ff-998d-1fb6eea07e81,Neutral,0.0
2025-11-24 09:18,Usage,visitor103454,,Καλημέρα θέλω να κατεβάσω το πρόγραμμα δωρεάν και δεν με αφήνει γιατί,session_71ca3029-dc4c-4a05-bf60-3b10b65751a3,Neutral,0.0
2025-11-21 15:24,Greetings,visitor103329,,Is it possible to change the currency to Philippine peso?,session_8cac81f4-d2e2-4363-b7a9-ef5b536a9707,Neutral,0.0
2025-11-14 11:16,Recipe,visitor103033,,good morning i have my recipes on csv file format can your app load them ?,session_923f72e3-2edf-4356-9b3d-cdca2a29564a,Positive,0.7
2025-11-05 15:43,Error,visitor102745,,καλησπέρα έχω κάνει εγγραφή κι δεν με συνδέει μήπως έκανα κάτι λάθος,session_e440fcfe-f9ae-4fa2-9a30-5b9ee87d7de1,Neutral,0.0
